COMMAND> loadp
LOADP
        Please enter the name of the file: players_1.csv
        The file players_1.csv was opened
        300 players were imported
		
		
COMMAND> showp
SHOWP
        1 - Sort [A-Z]
        2 - Sort [Z-A]
        Option> 1

        Player     | Name                 | Team            | BirthDate   | Gender |
        ============================================================================
        76         | Aaron Barber         | FC Porto        | 2001/08/16  | F      |
        34         | Abigail Pierce       | Imortal         | 2002/03/08  | F      |
        270        | Abrielle Jefferson   | Esgueira        | 1997/12/11  | F      |
        297        | Addison Cantrell     | Esgueira        | 2003/04/21  | M      |
        231        | Addison Flowers      | Maia Clube      | 2000/03/31  | M      |
        167        | Adeline Hartman      | Maia Clube      | 2000/08/29  | F      |
        206        | Adeline Terry        | Maia Clube      | 2004/05/23  | F      |
        263        | Adriana Shaw         | Esgueira        | 2002/11/16  | F      |
        220        | Alanna Conley        | Maia Clube      | 2000/08/01  | F      |
        14         | Albert Waters        | Imortal         | 1999/05/18  | M      |
        82         | Aleigha Vaughan      | FC Porto        | 1998/10/11  | F      |
        257        | Alexa Justice        | Esgueira        | 2003/12/26  | F      |
        13         | Alexandra Vega       | Imortal         | 2003/05/22  | F      |
        227        | Alexandria Dickerson | Maia Clube      | 2005/05/12  | F      |
        260        | Alexia Craft         | Esgueira        | 1996/02/26  | F      |
        228        | Alexis Riley         | Maia Clube      | 1997/03/30  | M      |
        196        | Alison Moses         | Maia Clube      | 1998/08/13  | M      |
        37         | Alisson Martinez     | Imortal         | 1995/04/23  | F      |
        201        | Alondra Herman       | Maia Clube      | 1997/02/20  | F      |
        59         | Alvin Hill           | Imortal         | 1996/02/08  | M      |
        293        | Amanda Wiggins       | Esgueira        | 2000/09/24  | F      |
        274        | Amiyah Caldwell      | Esgueira        | 2004/06/19  | F      |
        64         | Amy Rivers           | Imortal         | 1999/07/22  | F      |
        16         | Andres Robertson     | Imortal         | 2000/03/15  | M      |
        117        | Andrew Reese         | FC Porto        | 1998/10/14  | M      |
        258        | Angela Harding       | Esgueira        | 2004/02/08  | F      |
        151        | Angelica Roman       | Maia Clube      | 2004/06/01  | F      |
        183        | Angelique Carney     | Maia Clube      | 2004/09/06  | F      |
        53         | Angelo Hayes         | Imortal         | 1999/09/24  | M      |
        32         | Annabelle Haney      | Imortal         | 1997/03/06  | F      |
        290        | Annie Jimenez        | Esgueira        | 1996/09/23  | F      |
        193        | April Carey          | Maia Clube      | 2003/07/21  | F      |
        136        | Aria Golden          | FC Porto        | 1997/07/31  | F      |
        141        | Arianna Lloyd        | FC Porto        | 2002/04/18  | F      |
        74         | Arianna Russell      | FC Porto        | 1995/08/05  | F      |
        146        | Ariel Castro         | Maia Clube      | 2003/01/10  | M      |
        224        | Ariella Boyle        | Maia Clube      | 2003/07/30  | F      |
        259        | Arlo Weiss           | Esgueira        | 2002/01/03  | M      |
        6          | Armani Riley         | Imortal         | 2000/01/04  | M      |
        90         | Aubrie Sheppard      | FC Porto        | 1998/08/11  | F      |
        18         | Aydin Barnett        | Imortal         | 1997/10/07  | M      |
        177        | Beckham Stuart       | Maia Clube      | 1995/01/08  | M      |
        92         | Blake Bond           | FC Porto        | 2005/10/11  | M      |
        51         | Blakely David        | Imortal         | 2000/04/27  | M      |
        194        | Bowen Rush           | Maia Clube      | 2003/07/14  | M      |
        199        | Braden Puckett       | Maia Clube      | 2005/07/25  | M      |
        67         | Bradley Thompson     | Imortal         | 2004/06/26  | M      |
        140        | Braelynn Cochran     | FC Porto        | 2002/03/01  | M      |
        56         | Braelynn Johnson     | Imortal         | 1999/12/28  | M      |
        119        | Braiden Whitehead    | FC Porto        | 2004/02/07  | M      |
        142        | Bria Park            | FC Porto        | 1998/05/02  | M      |
        104        | Briana Hogan         | FC Porto        | 1996/06/16  | F      |
        240        | Briana Mckenzie      | Esgueira        | 1995/07/09  | F      |
        62         | Briley Barrera       | Imortal         | 1995/12/23  | M      |
        268        | Brooke Cabrera       | Esgueira        | 2005/04/20  | F      |
        20         | Bruno Hampton        | Imortal         | 1999/02/14  | M      |
        276        | Brycen Schmidt       | Esgueira        | 1998/01/01  | M      |
        115        | Bryn Frost           | FC Porto        | 1996/01/05  | M      |
        275        | Bryn Soto            | Esgueira        | 2002/09/01  | M      |
        251        | Caitlin Spears       | Esgueira        | 2003/09/24  | M      |
        72         | Callie Irwin         | FC Porto        | 2002/03/06  | F      |
        78         | Camryn Schmidt       | FC Porto        | 1996/01/21  | M      |
        7          | Carley Reilly        | Imortal         | 1998/12/01  | M      |
        256        | Carley Wood          | Esgueira        | 1998/04/02  | M      |
        172        | Carly Combs          | Maia Clube      | 2002/02/12  | M      |
        39         | Carly Santos         | Imortal         | 2003/11/16  | M      |
        248        | Carmelo Suarez       | Esgueira        | 2000/05/06  | M      |
        107        | Carolina Hayden      | FC Porto        | 2003/06/28  | F      |
        153        | Casen Hebert         | Maia Clube      | 2005/06/19  | M      |
        218        | Cesar Medina         | Maia Clube      | 1999/11/12  | M      |
        280        | Chace Emerson        | Esgueira        | 1998/02/20  | M      |
        121        | Chaim Ellison        | FC Porto        | 2005/02/20  | M      |
        298        | Chaim Flores         | Esgueira        | 2003/01/12  | M      |
        80         | Charley Humphrey     | FC Porto        | 1997/10/21  | M      |
        235        | Charli Tyson         | Maia Clube      | 2001/03/04  | M      |
        225        | Claire Gonzalez      | Maia Clube      | 2003/05/16  | F      |
        135        | Clayton Mayo         | FC Porto        | 2001/10/22  | M      |
        250        | Craig Wilcox         | Esgueira        | 1995/05/24  | M      |
        10         | Cruz Fletcher        | Imortal         | 2000/04/10  | M      |
        252        | Dakota Leonard       | Esgueira        | 1999/03/13  | F      |
        139        | Dane Mcintyre        | FC Porto        | 2004/04/24  | M      |
        163        | Danika Pratt         | Maia Clube      | 2004/01/09  | F      |
        253        | David Cortez         | Esgueira        | 2003/09/10  | M      |
        179        | Dawson Fulton        | Maia Clube      | 2003/09/11  | M      |
        130        | Deangelo Blackwell   | FC Porto        | 2004/02/11  | M      |
        237        | Demetrius Landry     | Esgueira        | 2005/06/04  | M      |
        279        | Denise Wilkinson     | Esgueira        | 2001/11/30  | F      |
        109        | Deon Skinner         | FC Porto        | 2003/02/04  | M      |
        158        | Derrick Compton      | Maia Clube      | 1995/05/04  | M      |
        245        | Destinee Juarez      | Esgueira        | 2004/01/08  | F      |
        284        | Dillon Gentry        | Esgueira        | 2000/06/05  | M      |
        215        | Dillon Livingston    | Maia Clube      | 2003/06/01  | M      |
        175        | Dimitri Mccullough   | Maia Clube      | 1997/11/30  | M      |
        269        | Dorian Rich          | Esgueira        | 2003/08/24  | M      |
        129        | Dorothy Jenkins      | FC Porto        | 1995/03/14  | F      |
        87         | Duncan Hale          | FC Porto        | 2001/10/31  | M      |
        46         | Ean Alford           | Imortal         | 1995/11/03  | M      |
        17         | Eduardo Chen         | Imortal         | 2001/08/02  | M      |
        238        | Edwin Finch          | Esgueira        | 2004/11/15  | M      |
        192        | Edwin Vang           | Maia Clube      | 1996/08/08  | M      |
        271        | Elisha Chambers      | Esgueira        | 2002/06/16  | F      |
        212        | Emanuel Velasquez    | Maia Clube      | 2005/09/11  | M      |
        152        | Emiliano Jefferson   | Maia Clube      | 2003/03/19  | M      |
        185        | Emmalyn Elliott      | Maia Clube      | 1998/03/06  | F      |
